id;issued_date;expiry_date;status;level_of_verification;schema_version;credential_hash;signature
1;2025-03-29T03:40:02;2026-03-29T03:40:02;VALID;HIGH;1.0;sha256:abc123def456;signature_abc123
2;2025-03-29T19:57:17;2025-04-29T19:57:17;REVOKED;MEDIUM;1.0;sha256:def456ghi789;signature_def456
3;2025-03-29T16:37:15;2026-03-29T16:37:15;VALID;HIGH;1.0;sha256:ghi789jkl012;signature_ghi789
4;2025-03-29T03:49:04;2026-03-29T03:49:04;VALID;LOW;1.0;sha256:jkl012mno345;signature_jkl012
5;2025-03-29T00:38:53;2025-04-29T00:38:53;EXPIRED;HIGH;1.0;sha256:mno345pqr678;signature_mno345
6;2025-03-29T09:31:46;2026-03-29T09:31:46;VALID;MEDIUM;1.0;sha256:pqr678stu901;signature_pqr678
7;2025-03-29T11:21:58;2025-04-29T11:21:58;EXPIRED;LOW;1.0;sha256:stu901vwx234;signature_stu901
8;2025-03-29T18:08:00;2025-04-29T18:08:00;EXPIRED;HIGH;1.0;sha256:vwx234yz567;signature_vwx234
9;2025-03-29T08:14:57;2025-04-29T08:14:57;EXPIRED;MEDIUM;1.0;sha256:yz567abc890;signature_yz567
10;2025-03-29T14:28:28;2026-03-29T14:28:28;VALID;HIGH;1.0;sha256:abc890def123;signature_abc890
